180101008,PH101,CD
180101024,CS348,DD
180101076,PH102,BB
180101096,CS205,DD
180101036,CS341,BB
180101022,CS402,BB
180101008,HS202,BB
180101028,CS342,DD
180123057,XX103M,AA
180101049,XX101M,BB
180101002,CH110,DD
180123052,CH110,DD
180101055,CS405,DD
180123043,SA101,AB
180101038,CS221,CD
180123047,XX105M,AA
180101019,EE101,CD
180101028,MA321,AA
180101041,CS342,BC
180101088,CS499,AB
180101091,ME101,DD
180101004,PH101,BC
180123012,CS224,BB
180101079,XX103M,CD
180101083,CS205,BC
180101051,CS361,DD
180101082,CS341,BB
180101015,CS403,DD
180101086,CS343,CC
180101069,CS246,BC
180123014,SA401,BC
180123048,CS242,DD
180101087,CS207,BC
180123035,OE202,CC
180101052,EE110,BC
180101063,HS202,BC
180101059,SA301,BC
180101063,BT101,BB
180123064,CS223,AA
180101046,BT101,DD
180101011,MA225,BC
180101029,CS110,AA
180101041,CS403,BB
180101059,ME111,CD
180123024,CS401,CC
180123061,OE101,BC
180123054,MA101,BC
180101035,CS346,CD
180123004,CS221,BB
180123058,CH101,AA
180101080,SA201,BC
180101010,OE201,CC
180101072,PH101,BB
180101002,PH101,CC
180101081,CS223,BB
180101049,MA102,CC
180101019,PH110,AA
180101072,HS102,BB
180123060,CS342,AB
180123036,CH101,BC
180101061,OE202,BB
180101092,SA301,DD
180101016,CS203,AB
180101003,XX105M,CD
180123052,CS404,BC
180123030,EE101,BB
180101028,CS221,CD
180101082,MA101,AB
180101027,HS202,CC
180123016,XX103M,CC
180101097,SA101,CC
180101002,SA301,AA
180101015,SA401,AA
180123020,CS207,AA
180101046,CS345,BC
180101058,MA222,BC
180101005,HS101,DD
180123059,SA401,DD
180123004,CS201,AA
180101055,SA301,AA
180123063,OE202,AB
180123031,MA225,CD
180101046,CS361,BC
180101049,CS221,BC
180101069,CS402,CD
180101096,BT101,AB
180101066,CS501,BC
180123033,SA401,CC
180101027,CS345,CD
180101095,ME111,AB
180101084,SA401,DD
180101027,EE110,BC
180101075,CS346,CC
180101066,CS242,CC
180101023,MA321,BC
180101071,MA101,AB
180101038,CS242,BC
180101029,CS498,AA
180101063,CS203,BC
180123026,HS202,DD
180123057,OE102,BB
180101053,BT101,DD
180101017,CS201,AB
180123031,CS346,AA
180123022,CS402,AA
180101058,OE102,CD
180101015,OE201,BB
180123055,BT101,DD
180101088,MA102,AB
180101044,EE110,AA
180101004,SA301,AA
180101018,CS405,CC
180101096,CS345,AB
180101012,CS101,AB
180101092,HS100,CD
180101038,PH101,CD
180123005,CS344,CC
180123008,CS405,BB
180123048,SA101,DD
180101011,CS361,CD
180101012,ME110,AA
180101083,PH102,CD
180123007,XX104M,CD
180123052,CS201,CD
180101060,CS501,DD
180101053,CS101,AA
180101041,CS242,CD
180123033,OE101,AA
180123016,CS223,BB
180101030,EE101,BC
180123065,CS346,BB
180101093,CS346,CD
180101021,CS405,BB
180123045,SA201,BB
180123024,CS221,AA
180101050,ME110,CC
180123060,CS402,BB
180101021,HS102,BB
180101014,CS205,AB
180123030,HS201,CC
180101011,HS102,AA
180101058,XX104M,AA
180123041,CS341,AA
180101082,OE202,DD
180123015,CS204,BC
180101098,CS245,CD
180123025,CS341,AB
180101017,MA102,DD
180101097,CS404,AB
180123008,CH110,BB
180101020,HS202,BB
180101003,OE101,CD
180101067,CS499,CC
180123024,CS224,DD
180101030,CS342,DD
180123048,CS221,BC
180101094,CS205,BB
180123037,EE110,DD
180123061,ME101,CD
180101081,CS201,CC
180101088,EE110,BB
180123062,CS204,AA
180101086,CH110,BC
180101033,MA225,CC
180123028,OE102,DD
180123048,SA201,CC
180123036,CS221,BB
180123042,ME101,AB
180123026,XX104M,CC
180123030,MA101,CD
180123032,CS405,CD
180101054,CS498,AA
180101085,MA102,CC
180101046,CS205,CD
180101058,CS246,DD
180101070,CS245,AA
180101097,CS101,CC
180101094,CS203,AA
180123010,MA222,CD
180101002,OE201,AB
180123060,SA201,AA
180123022,XX104M,AB
180123047,CS221,CD
180123040,CS242,BC
180123035,CS405,DD
180101069,CS101,CD
180123005,CS405,DD
180123032,SA201,CD
180123013,CS223,DD
180101047,ME101,AB
180123009,PH101,CC
180123013,CS361,CC
180123013,OE201,AB
180101042,CS205,DD
180123048,XX103M,AA
180101015,XX103M,AB
180101035,HS102,DD
180101081,CS344,BB
180123049,MA102,AB
180101066,EE110,BC
180101023,CS402,CD
180101057,CS343,AB
180123042,CH101,CD
180123028,CS344,AB
180101028,HS100,BC
180101080,CS110,AB
180101068,CH110,BB
180101051,HS202,BB
180101071,CS498,CD
180101096,XX104M,DD
180101095,HS202,CD
180101078,ME111,DD
180101009,CS402,DD
180101093,CS221,BC
180101065,EE110,AA
180101020,CS403,CC
180101065,XX102M,CD
180123020,SA101,AB
180123058,MA102,AB
180101061,PH102,AA
180123034,CS224,AB
180101082,MA321,CC
180101050,MA225,BC
180101031,CS404,BC
180101078,CS223,DD
180123023,CS501,CD
180101012,CS242,AA
180101003,CS361,BC
180123015,XX101M,AB
180101087,EE110,AB
180101048,PH102,BC
180101071,CS341,BB
180123025,MA222,AA
180123004,SA301,AB
180101087,PH110,AA
180123057,MA225,AB
180101097,CS498,DD
180101066,CS224,DD
180123012,CS405,CC
180123063,CS343,CC
180101080,CS345,BB
180101042,SA201,CD
180101015,CS499,BB
